5	299	2000000	8	8	8	8	8
23919	90530	153805	398007	806836	1230841	2951505	7414759	23919	90530	153805	398007	806836	1230841	2951505	7414759	23919	90530	153805	398007	806836	1230841	2951505	7414759	23919	90530	153805	398007	806836	1230841	2951505	7414759	23919	90530	153805	398007	806836	1230841	2951505	7414759
26077	95987	165915	439849	900677	1361917	3225173	7566677	26077	95987	165915	439849	900677	1361917	3225173	7566677	26077	95987	165915	439849	900677	1361917	3225173	7566677	26077	95987	165915	439849	900677	1361917	3225173	7566677	26077	95987	165915	439849	900677	1361917	3225173	7566677
28628	114541	195398	499569	1020580	1585188	3509134	8047930	28628	114541	195398	499569	1020580	1585188	3509134	8047930	28628	114541	195398	499569	1020580	1585188	3509134	8047930	28628	114541	195398	499569	1020580	1585188	3509134	8047930	28628	114541	195398	499569	1020580	1585188	3509134	8047930
24589	144865	248607	717373	1660786	2997347	5534828	11383189	24589	144865	248607	717373	1660786	2997347	5534828	11383189	24589	144865	248607	717373	1660786	2997347	5534828	11383189	24589	144865	248607	717373	1660786	2997347	5534828	11383189	24589	144865	248607	717373	1660786	2997347	5534828	11383189
20472	75932	141852	352020	767691	1273369	2882991	7039276	20472	75932	141852	352020	767691	1273369	2882991	7039276	20472	75932	141852	352020	767691	1273369	2882991	7039276	20472	75932	141852	352020	767691	1273369	2882991	7039276	20472	75932	141852	352020	767691	1273369	2882991	7039276
20556	79667	162152	380285	841885	1543739	2933941	6900124	20556	79667	162152	380285	841885	1543739	2933941	6900124	20556	79667	162152	380285	841885	1543739	2933941	6900124	20556	79667	162152	380285	841885	1543739	2933941	6900124	20556	79667	162152	380285	841885	1543739	2933941	6900124
20505	85385	188129	505022	1271027	2661493	4407930	8771508	20505	85385	188129	505022	1271027	2661493	4407930	8771508	20505	85385	188129	505022	1271027	2661493	4407930	8771508	20505	85385	188129	505022	1271027	2661493	4407930	8771508	20505	85385	188129	505022	1271027	2661493	4407930	8771508
38794	152390	281780	692719	1488210	2535610	4898622	10297387	38794	152390	281780	692719	1488210	2535610	4898622	10297387	38794	152390	281780	692719	1488210	2535610	4898622	10297387	38794	152390	281780	692719	1488210	2535610	4898622	10297387	38794	152390	281780	692719	1488210	2535610	4898622	10297387
29282	96385	178895	468340	1042690	2183877	4278967	9238111	29282	96385	178895	468340	1042690	2183877	4278967	9238111	29282	96385	178895	468340	1042690	2183877	4278967	9238111	29282	96385	178895	468340	1042690	2183877	4278967	9238111	29282	96385	178895	468340	1042690	2183877	4278967	9238111
16388	64834	128178	299502	642871	1137787	2184867	4751438	16388	64834	128178	299502	642871	1137787	2184867	4751438	16388	64834	128178	299502	642871	1137787	2184867	4751438	16388	64834	128178	299502	642871	1137787	2184867	4751438	16388	64834	128178	299502	642871	1137787	2184867	4751438
