5 222 2000000 8 8 8 8 8
38444	76042	213442	423708	890872	1762162	4561474	10278768	38287	76346	216987	426353	897263	1762704	4579554	10256984	38276	76853	209424	432717	901219	1750252	4592887	10229273	37881	76729	213687	412019	892879	1787788	4592143	10350622	38465	76313	214773	429210	894280	1772102	4521917	10339951
33376	67382	184750	397076	830152	1728436	4558050	10425366	34301	67635	186888	402620	809471	1739411	4604794	10577623	32454	69121	179198	395173	843183	1774326	4591273	10221062	34810	65984	184982	400431	829216	1732220	4565370	10315554	34125	68761	185397	400408	821343	1699625	4617120	10369926
32942	62090	163092	362400	765002	1632720	4424170	10677716	31639	62919	160802	356606	772706	1573626	4419671	10904831	33544	62703	165271	345750	762046	1617649	4447287	10831846	33390	62285	164411	359876	761770	1622813	4356030	10729258	32114	61767	161935	361074	758486	1565568	4397023	11001959
22196	42838	101006	218644	481596	931898	2475356	6283256	21992	45085	104491	220705	468793	940272	2483214	6342537	23357	43137	102642	222018	485287	932093	2429261	6460210	21430	40832	95047	218723	494697	897829	2444678	6202511	22078	43300	98715	218472	467665	926103	2486956	6028036
25740	51568	118826	271614	602644	1068962	2818674	6512442	25497	51417	115967	273665	583220	1059256	2814295	6477974	25858	51006	116414	276513	604645	1039362	2820744	6414271	25488	51068	120650	269768	628796	1048391	2837989	6511315	26986	51345	123153	268235	610600	1094770	2914642	6393871
44300	85324	208244	432530	889364	1664806	4262348	9084532	45017	83778	205636	432406	895948	1710839	4264450	9279218	44831	84558	206447	423073	882228	1663922	4337663	9178995	44015	84447	208567	435685	909336	1671540	4276307	9004339	44394	84418	208419	433850	897700	1665852	4237340	9108154
42024	82874	226456	450424	968034	1860726	4745676	9672028	41329	81392	228744	451391	948132	1843027	4746191	9732861	41610	80329	224300	451006	956612	1855431	4734282	9790582	42076	84869	230211	465097	958786	1856429	4835983	9898966	41693	83774	222161	448283	967559	1841790	4748719	9571627
48390	94430	242842	502640	1102734	2226064	5371768	11615626	48281	93596	240859	505628	1096785	2255318	5351601	11557172	48507	95192	243564	504415	1099023	2197660	5399338	11707459	48572	93470	240322	501928	1094065	2272316	5373327	11739898	49519	95463	243274	501247	1111148	2212097	5290191	11555019
56032	110584	275916	582204	1295478	2508828	6714188	14954150	55477	108485	274033	584769	1298200	2444437	6888697	15094431	56435	110140	278845	584398	1287193	2461564	6815953	14765627	56529	110385	275517	596742	1304107	2486868	6705622	15333229	56052	106841	275284	582622	1310041	2484165	6766843	14899503
54032	104602	268708	574158	1338370	2697114	6834746	17136488	54058	105636	267618	567736	1346524	2717971	6782658	17165254	54271	104793	263809	571162	1358533	2720065	6952607	17475940	54103	105719	265663	570213	1342367	2641930	6833697	16945669	54741	101592	270498	574622	1332487	2724225	6893207	17082209
